complaint_id,text,category,area,date,report_count,urgency_score,status
CMP0273,Power cut for more than 6 hours in Sector 7,Electricity,Sector 7,2024-05-09,7,4.2,Pending
CMP0274,Borewell pump not working in Ward 2,Water Supply,Ward 2,2024-10-24,5,2.2,Pending
CMP0275,Stray animals spreading garbage in Ward 3,Garbage,Ward 3,2024-12-16,5,9.8,Pending
CMP0276,Water meter reading incorrect in Ward 3,Water Supply,Ward 3,2024-02-02,6,1.3,Pending
CMP0277,Water tanker not arriving in Ward 1,Water Supply,Ward 1,2024-06-10,6,5.6,Resolved
CMP0278,Blocked drain causing street flooding in New Colony,Drainage,New Colony,2024-05-09,7,7.8,Pending
CMP0279,Garbage truck has not visited in Ward 1,Garbage,Ward 1,2024-12-01,9,3.5,In Progress
CMP0280,Exposed live wire near playground in Old City,Electricity,Old City,2024-08-13,6,4.1,Pending
CMP0281,Transformer burnt in colony in Sector 7,Electricity,Sector 7,2024-09-22,3,8.2,In Progress
CMP0282,No street lights on highway in Old City,Roads,Old City,2024-11-04,9,5.9,Pending
CMP0283,Speed breaker needed urgently in Sector 7,Roads,Sector 7,2024-12-04,7,3.8,In Progress
CMP0284,No electricity in entire block in Ward 3,Electricity,Ward 3,2024-12-19,1,4.2,Pending
CMP0285,Dead animals not removed from road in Model Town,Garbage,Model Town,2024-08-10,9,6.8,In Progress
CMP0286,Road cave-in near market in Ward 2,Roads,Ward 2,2024-12-09,4,4.3,In Progress
CMP0287,Water meter reading incorrect in Ward 1,Water Supply,Ward 1,2024-03-14,7,1.3,Pending
CMP0288,Garbage not collected for a week in Sector 7,Garbage,Sector 7,2024-07-15,4,6.4,In Progress
CMP0289,Dustbin overflowing on street in Sector 7,Garbage,Sector 7,2024-08-15,5,6.2,Pending
CMP0290,Transformer burnt in colony in Sector 7,Electricity,Sector 7,2024-11-28,5,3.2,Pending
CMP0291,Contaminated water supply in New Colony,Water Supply,New Colony,2024-09-22,4,9.2,Pending
CMP0292,Dead animals not removed from road in New Colony,Garbage,New Colony,2024-04-19,5,7.2,Resolved
CMP0293,Dirty and muddy water from tap in Ward 2,Water Supply,Ward 2,2024-03-10,6,5.1,Resolved
CMP0294,Electricity meter reading wrong in Ward 2,Electricity,Ward 2,2024-12-15,7,7.0,In Progress
CMP0295,Drainage pipe broken and leaking in Gandhi Nagar,Drainage,Gandhi Nagar,2024-05-28,5,8.7,In Progress
CMP0296,Water pipe leakage on street in Sector 7,Water Supply,Sector 7,2024-09-17,5,2.1,Pending
CMP0297,No water supply since 3 days in Sector 5,Water Supply,Sector 5,2024-09-09,5,4.2,Pending
CMP0298,Sparking wire hanging on pole in Gandhi Nagar,Electricity,Gandhi Nagar,2024-03-07,6,1.6,Pending
